Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2010-06-15,1200.0,1200.0,1144.0,1152.0,11.9
1.0,2010-06-16,1176.0,1176.0,1073.6,1078.4,42.5
2.0,2010-06-17,1152.0,1152.0,1123.2,1123.2,7.5
3.0,2010-06-18,1142.4,1182.4,1096.0,1096.0,13.2
4.0,2010-06-21,1152.0,1152.0,1100.8,1102.4,5.65
5.0,2010-06-22,1110.4,1184.0,1072.0,1120.0,95.0
6.0,2010-06-23,1121.6,1121.6,1088.0,1104.0,5.0
7.0,2010-06-24,1092.8,1131.2,1062.4,1086.4,21.2
8.0,2010-06-25,1056.0,1056.0,1040.0,1056.0,37.5
9.0,2010-06-28,1072.0,1072.0,1011.2,1032.0,7.5
10.0,2010-06-29,1032.0,1032.0,998.4,1008.0,38.8
11.0,2010-06-30,1008.0,1008.0,1008.0,1008.0,10.6
12.0,2010-07-01,992.0,992.0,960.0,964.8,40.0
13.0,2010-07-02,947.2,947.2,947.2,947.2,6.25
14.0,2010-07-06,947.2,982.4,888.0,960.0,91.2
15.0,2010-07-07,984.0,1025.6,984.0,1004.8,42.5
16.0,2010-07-08,1000.0,1000.0,958.4,958.4,11.9
17.0,2010-07-09,960.0,960.0,905.6,955.2,10.6
18.0,2010-07-12,958.4,958.4,828.8,840.0,26.9
19.0,2010-07-13,958.4,958.4,862.4,888.0,18.2
20.0,2010-07-14,880.0,880.0,864.0,876.8,6.25
21.0,2010-07-15,851.2,854.4,838.4,838.4,8.15
22.0,2010-07-16,822.4,822.4,774.4,784.0,33.8
23.0,2010-07-19,779.2,824.0,760.0,760.0,18.8
24.0,2010-07-20,792.0,875.2,777.6,836.8,40.6
25.0,2010-07-21,841.6,841.6,841.6,841.6,1.0
26.0,2010-07-22,875.2,880.0,824.0,824.0,63.2
27.0,2010-07-23,800.0,835.2,787.2,835.2,3.75
28.0,2010-07-26,784.0,840.0,784.0,835.2,28.8
29.0,2010-07-27,784.0,804.8,760.0,760.0,52.5
30.0,2010-07-28,784.0,784.0,784.0,784.0,6.25
31.0,2010-07-29,819.2,819.2,819.2,819.2,1.9
32.0,2010-07-30,784.0,784.0,768.0,768.0,12.5
33.0,2010-08-02,801.6,801.6,784.0,790.4,15.6
34.0,2010-08-03,771.2,774.4,769.6,771.2,60.6
35.0,2010-08-04,811.2,811.2,768.0,768.0,53.2
36.0,2010-08-05,768.0,768.0,768.0,768.0,15.6
37.0,2010-08-06,760.0,760.0,736.0,760.0,41.2
38.0,2010-08-09,739.2,739.2,739.2,739.2,5.65
39.0,2010-08-10,740.8,740.8,723.2,723.2,50.0
40.0,2010-08-11,720.0,720.0,649.6,651.2,37.5
41.0,2010-08-12,656.0,670.4,640.0,640.0,35.6
42.0,2010-08-13,643.2,739.2,643.2,736.0,12.5
43.0,2010-08-16,736.0,824.0,680.0,736.0,108.0
44.0,2010-08-17,726.4,782.4,681.6,710.4,18.2
45.0,2010-08-18,696.0,795.2,681.6,718.4,34.4
46.0,2010-08-19,704.0,704.0,665.6,676.8,35.0
47.0,2010-08-20,675.2,676.8,640.0,649.6,126.0
48.0,2010-08-23,649.6,651.2,646.4,646.4,18.2
49.0,2010-08-24,640.0,643.2,620.8,625.6,70.6
50.0,2010-08-25,620.8,620.8,595.2,619.2,85.6
51.0,2010-08-26,625.6,625.6,579.2,582.4,5.0
52.0,2010-08-27,593.6,609.6,592.0,608.0,22.5
53.0,2010-08-30,592.0,592.0,560.0,569.6,59.4
54.0,2010-08-31,569.6,606.4,556.8,556.8,55.0
55.0,2010-09-01,604.8,606.4,564.8,600.0,38.8
56.0,2010-09-02,604.8,604.8,558.4,595.2,12.5
57.0,2010-09-03,561.6,630.4,545.6,628.8,54.4
58.0,2010-09-07,628.8,720.0,628.8,720.0,55.6
59.0,2010-09-08,704.0,830.4,649.6,809.6,278.0
60.0,2010-09-09,836.8,1024.0,836.8,961.6,386.0
61.0,2010-09-10,980.8,1166.4,980.8,1121.6,431.0
62.0,2010-09-13,1136.0,1200.0,1040.0,1092.8,181.0
63.0,2010-09-14,1046.4,1046.4,833.6,985.6,234.0
64.0,2010-09-15,966.4,966.4,881.6,920.0,76.2
65.0,2010-09-16,896.0,896.0,830.4,870.4,88.2
66.0,2010-09-17,896.0,896.0,870.4,889.6,37.5
67.0,2010-09-20,896.0,944.0,864.0,944.0,25.6
68.0,2010-09-21,900.8,934.4,862.4,904.0,38.2
69.0,2010-09-22,880.0,880.0,854.4,876.8,11.2
70.0,2010-09-23,865.6,872.0,808.0,830.4,59.4
71.0,2010-09-24,819.2,830.4,782.4,827.2,42.5
72.0,2010-09-27,827.2,827.2,756.8,800.0,91.9
73.0,2010-09-28,800.0,816.0,776.0,809.6,70.6
74.0,2010-09-29,793.6,796.8,756.8,784.0,66.2
75.0,2010-09-30,784.0,838.4,774.4,838.4,60.6
76.0,2010-10-01,803.2,840.0,768.0,809.6,51.9
77.0,2010-10-04,800.0,809.6,769.6,801.6,16.2
78.0,2010-10-05,803.2,808.0,800.0,800.0,10.0
79.0,2010-10-06,793.6,800.0,776.0,800.0,38.2
80.0,2010-10-07,768.0,784.0,748.8,777.6,104.0
81.0,2010-10-08,800.0,958.4,798.4,952.0,153.0
82.0,2010-10-11,964.8,1104.0,944.0,1056.0,394.0
83.0,2010-10-12,1038.4,1097.6,988.8,1008.0,142.0
84.0,2010-10-13,996.8,1056.0,923.2,960.0,111.0
85.0,2010-10-14,924.8,944.0,880.0,886.4,122.0
86.0,2010-10-15,892.8,974.4,892.8,974.4,98.8
87.0,2010-10-18,1000.0,1000.0,961.6,979.2,76.2
88.0,2010-10-19,1035.2,1035.2,956.8,979.2,96.9
89.0,2010-10-20,982.4,1000.0,945.6,1000.0,25.0
90.0,2010-10-21,1000.0,1000.0,928.0,937.6,56.2
91.0,2010-10-22,928.0,976.0,904.0,960.0,144.0
92.0,2010-10-25,961.6,1032.0,873.6,897.6,135.0
93.0,2010-10-26,905.6,928.0,865.6,891.2,29.4
94.0,2010-10-27,886.4,961.6,848.0,860.8,163.0
95.0,2010-10-28,864.0,956.8,864.0,924.8,74.4
96.0,2010-10-29,936.0,940.8,880.0,916.8,80.6
97.0,2010-11-01,881.6,920.0,848.0,916.8,42.5
98.0,2010-11-02,912.0,920.0,848.0,873.6,118.0
99.0,2010-11-03,849.6,928.0,812.8,824.0,118.0
100.0,2010-11-04,808.0,867.2,774.4,792.0,258.0
101.0,2010-11-05,801.6,924.8,801.6,896.0,174.0
102.0,2010-11-08,912.0,928.0,827.2,857.6,102.0
103.0,2010-11-09,742.4,915.2,742.4,835.2,75.6
104.0,2010-11-10,816.0,851.2,816.0,851.2,28.2
105.0,2010-11-11,852.8,912.0,849.6,894.4,26.2
106.0,2010-11-12,904.0,1200.0,904.0,960.0,692.0
107.0,2010-11-15,939.2,952.0,880.0,880.0,237.0
108.0,2010-11-16,984.0,984.0,768.0,787.2,270.0
109.0,2010-11-17,788.8,1006.4,788.8,920.0,388.0
110.0,2010-11-18,908.8,998.4,872.0,884.8,319.0
111.0,2010-11-19,880.0,880.0,816.0,841.6,248.0
112.0,2010-11-22,862.4,899.2,841.6,876.8,30.0
113.0,2010-11-23,905.6,910.4,825.6,867.2,58.8
114.0,2010-11-24,820.8,902.4,817.6,832.0,210.0
115.0,2010-11-26,817.6,891.2,801.6,819.2,16.2
116.0,2010-11-29,816.0,868.8,816.0,856.0,49.4
117.0,2010-11-30,856.0,856.0,792.0,825.6,131.0
118.0,2010-12-01,880.0,880.0,761.6,803.2,172.0
